device_id,model,grade,buyer_id,bid,on_time_pay_pct,pickup_days,cancellation_rate,distance_km
D001,MacBook Air M1,A,BUYER_F,19500,0.55,8.0,0.25,70
D001,MacBook Air M1,A,BUYER_A,17000,0.96,0.5,0.02,4
D001,MacBook Air M1,A,BUYER_E,18100,0.9,1.5,0.05,12
D002,iPad 9th gen,C,BUYER_A,21900,0.96,0.5,0.02,4
D002,iPad 9th gen,C,BUYER_D,22500,0.65,6.5,0.18,55
D003,iPad 9th gen,C,BUYER_E,37700,0.9,1.5,0.05,12
D003,iPad 9th gen,C,BUYER_A,36400,0.96,0.5,0.02,4
D004,iPad 9th gen,C,BUYER_E,11400,0.9,1.5,0.05,12
D004,iPad 9th gen,C,BUYER_D,13200,0.65,6.5,0.18,55
D004,iPad 9th gen,C,BUYER_A,11700,0.96,0.5,0.02,4
D004,iPad 9th gen,C,BUYER_F,12100,0.55,8.0,0.25,70
D005,iPhone 14 128GB,B,BUYER_F,29900,0.55,8.0,0.25,70
D005,iPhone 14 128GB,B,BUYER_B,28600,0.78,5.0,0.11,38
D005,iPhone 14 128GB,B,BUYER_A,26900,0.96,0.5,0.02,4
D005,iPhone 14 128GB,B,BUYER_C,28900,0.97,0.5,0.01,6
D006,iPad 9th gen,C,BUYER_B,12500,0.78,5.0,0.11,38
D006,iPad 9th gen,C,BUYER_D,13100,0.65,6.5,0.18,55
D006,iPad 9th gen,C,BUYER_E,11700,0.9,1.5,0.05,12
D006,iPad 9th gen,C,BUYER_F,12100,0.55,8.0,0.25,70
D007,iPhone 13 128GB,A,BUYER_E,24100,0.9,1.5,0.05,12
D007,iPhone 13 128GB,A,BUYER_C,25100,0.97,0.5,0.01,6
D008,Galaxy Tab S9,C,BUYER_E,37500,0.9,1.5,0.05,12
D008,Galaxy Tab S9,C,BUYER_A,35900,0.96,0.5,0.02,4
D008,Galaxy Tab S9,C,BUYER_F,38600,0.55,8.0,0.25,70
D009,Galaxy S23,B,BUYER_F,38500,0.55,8.0,0.25,70
D009,Galaxy S23,B,BUYER_A,35900,0.96,0.5,0.02,4
D010,Pixel 7,B,BUYER_F,30300,0.55,8.0,0.25,70
D010,Pixel 7,B,BUYER_C,28400,0.97,0.5,0.01,6
D010,Pixel 7,B,BUYER_D,31200,0.65,6.5,0.18,55
D011,MacBook Air M1,A,BUYER_F,42000,0.55,8.0,0.25,70
